Folder,File,MFCCs,ZCR,PitchMean,PitchStd,SpectralCentroid,SpectralBandwidth,SpectralRolloff,Harmonic,Percussive
A house has all kinds of stuff,citizen_audio_29927f3e-d6a5-4003-ac9d-4e4595872dff.wav,"[-375.7679443359375, 95.67100524902344, 14.477056503295898, 31.05899429321289, 11.466086387634277, -16.48101806640625, 7.952781677246094, 6.699861526489258, -16.035099029541016, -13.45682144165039, -13.540757179260254, -16.897008895874023, -7.703651428222656]",0.058503476145234184,6.685700416564941,121.1568603515625,1885.3066123064207,1415.6223829950652,2811.3830115036976,-9.526062854092743e-07,1.708293530100491e-05
A house has all kinds of stuff,citizen_audio_468a2ab1-ea39-4c29-a076-cf162918e3b4.wav,"[-468.7102355957031, 103.41490936279297, 13.627878189086914, 7.628664493560791, -12.578705787658691, 1.4319477081298828, -4.818672180175781, -9.967400550842285, 2.6096200942993164, -9.139213562011719, -10.462026596069336, -8.205595970153809, -6.321205139160156]",0.06645008477263856,15.69418716430664,173.20997619628906,2908.9566842851495,2967.3792103777364,5367.1875,1.6446488615429189e-09,7.139458944038779e-07
A house has all kinds of stuff,citizen_audio_1a49ab7b-783e-48ee-bb5b-a24f8b08fef9.wav,"[-447.397705078125, 140.7448272705078, 11.97923755645752, 31.370798110961914, 8.711030960083008, -17.5157470703125, 10.279630661010742, -0.3954102098941803, -8.717460632324219, 7.955594062805176, 0.5347890853881836, -0.3287501931190491, 4.405107021331787]",0.057219873715753426,9.55124282836914,143.47109985351562,1953.237546252783,1988.8948737168216,3362.6198630136987,1.0699654922063928e-06,1.0354903679399285e-05
A house has all kinds of stuff,citizen_audio_bbc63bf7-a0f8-4490-b314-1efe71195b53.wav,"[-397.40887451171875, 100.11190795898438, 12.34681510925293, 10.89651870727539, 0.8280943632125854, 7.198574542999268, -5.832839012145996, -8.845319747924805, -5.823832988739014, -4.452304840087891, -10.156524658203125, -15.860010147094727, -3.7450408935546875]",0.08288582160865322,12.094996452331543,162.5127410888672,2782.141736743846,2506.0185544947612,4679.158872804164,-2.40405393014953e-06,-1.8052922314382158e-05
A house has all kinds of stuff,citizen_audio_92a013e2-1719-4fb5-ab0b-fd270e0ed32c.wav,"[-375.6197204589844, 104.5140151977539, -17.412704467773438, -0.5208889842033386, 4.700141906738281, -4.285038471221924, -17.783031463623047, -4.461639881134033, -10.462664604187012, -11.506240844726562, -11.624164581298828, -14.325398445129395, -5.4385294914245605]",0.08134399699941453,24.82613754272461,249.96763610839844,2719.8999813027,2251.5586984811102,4713.922419313524,1.7069524460566754e-08,6.0977519751759246e-05
A house has all kinds of stuff,citizen_audio_390a3c3b-5546-4c65-bd42-34c5c92300e3.wav,"[-420.010986328125, 89.5722885131836, -4.559913158416748, 13.887123107910156, -1.81950843334198, 8.403341293334961, -10.580689430236816, -4.877723693847656, -7.0971174240112305, -10.272750854492188, -9.035436630249023, -1.7374684810638428, -11.497490882873535]",0.0956296992481203,16.35350227355957,192.28721618652344,3278.327451107472,2967.1897025638473,5582.741333502025,1.8151025571455648e-08,8.760586638345558e-07
A house has all kinds of stuff,citizen_audio_57594ff1-87c1-4027-b8d9-1772c91658a3.wav,"[-391.3247985839844, 96.0947265625, -10.035146713256836, 12.065325736999512, 3.947303056716919, 0.33010512590408325, -7.0614213943481445, -9.172361373901367, -16.038724899291992, -13.629504203796387, -9.60843563079834, -8.447948455810547, -5.332881450653076]",0.08339209380855715,15.980037689208984,186.40478515625,3302.598937153743,3264.2058620624484,5933.96217207995,-1.9679259111171632e-08,-1.9788176359725185e-06
A house has all kinds of stuff,citizen_audio_384aa19c-9a39-422c-9e2d-d61d501580c2.wav,"[-398.2292785644531, 94.18263244628906, 18.567153930664062, 13.174259185791016, 1.3111729621887207, 4.673643112182617, -4.397878170013428, 5.760695457458496, -6.822604179382324, -6.195504665374756, -4.9917802810668945, -11.918563842773438, -9.786112785339355]",0.0836424637734192,8.636600494384766,129.5877227783203,2889.6345339680124,2670.6279660598257,4891.197329661885,8.287748443081e-08,-5.129310920892749e-06
A house has all kinds of stuff,citizen_audio_71f65753-d9ce-45ae-898a-89911f90bac1.wav,"[-443.38653564453125, 91.22362518310547, 18.73012351989746, 37.90675354003906, 13.4561767578125, 21.284605026245117, 8.403238296508789, 11.871782302856445, 3.7738568782806396, -2.963928699493408, 3.039638042449951, -0.7551262378692627, -1.4765435457229614]",0.06026232881701632,12.144740104675293,169.04824829101562,2636.500482982345,3345.41114595482,4481.719842657342,-1.1098223922090256e-06,-3.701079776874394e-06
A house has all kinds of stuff,citizen_audio_d1ada1f5-c779-4fc0-9019-b7a21f620149.wav,"[-421.5903015136719, 87.0009765625, 33.784149169921875, 18.527524948120117, -3.410099983215332, -8.46224308013916, -6.788031578063965, 3.5786705017089844, -11.700751304626465, -11.01687240600586, -10.349413871765137, 2.580814838409424, -6.442304611206055]",0.1502883574114623,10.998956680297852,155.93502807617188,4102.590640147735,3577.2007328348573,7157.1906386852625,-2.2176021019504333e-08,-5.331180545908865e-07
